あ,a
い,i
う,u
え,e
お,o
か,ka
が,ga
き,ki
ぎ,gi
く,ku
ぐ,gu
け,ke
げ,ge
こ,ko
ご,go
さ,sa
ざ,za
し,si
じ,ji
す,su
ず,zu
せ,se
ぜ,ze
そ,so
ぞ,zo
た,ta
だ,da
ち,ti
ぢ,di
つ,tu
づ,du
て,te
で,de
と,to
ど,do
な,na
に,ni
ぬ,nu
ね,ne
の,no
は,ha
ば,ba
ぱ,pa
ひ,hi
び,bi
ぴ,pi
ふ,fu
ぶ,bu
ぷ,pu
へ,he
べ,be
ぺ,pe
ほ,ho
ぼ,bo
ぽ,po
ま,ma
み,mi
む,mu
め,me
も,mo
や,ya
ゆ,yu
よ,yo
ら,ra
り,ri
る,ru
れ,re
ろ,ro
わ,wa
を,wo
ん,nn
ア,A
イ,I
ウ,U
エ,E
オ,O
カ,KA
ガ,GA
キ,KI
ギ,GI
ク,KU
グ,GU
ケ,KE
ゲ,GE
コ,KO
ゴ,GO
サ,SA
ザ,ZA
シ,SI
ジ,JI
ス,SU
ズ,ZU
セ,SE
ゼ,ZE
ソ,SO
ゾ,ZO
タ,TA
ダ,DA
チ,TI
ヂ,DI
ツ,TU
ヅ,DU
テ,TE
デ,DE
ト,TO
ド,DO
ナ,NA
ニ,NI
ヌ,NU
ネ,NE
ノ,NO
ハ,HA
バ,BA
パ,PA
ヒ,HI
ビ,BI
ピ,PI
フ,FU
ブ,BU
プ,PU
ヘ,HE
ベ,BE
ペ,PE
ホ,HO
ボ,BO
ポ,PO
マ,MA
ミ,MI
ム,MU
メ,ME
モ,MO
ヤ,YA
ユ,YU
ヨ,YO
ラ,RA
リ,RI
ル,RU
レ,RE
ロ,RO
ワ,WA
ヲ,WO
ン,NN
きゃ,kya
きゅ,kyu
きょ,kyo
ぎゃ,gya
ぎゅ,gyu
ぎょ,gyo
しゃ,sha
しゅ,shu
しょ,sho
じゃ,ja
じゅ,ju
じょ,jo
ちゃ,cha
ちゅ,chu
ちょ,cho
ぢゃ,dya
ぢゅ,dyu
ぢょ,dyo
にゃ,nya
にゅ,nyu
にょ,nyo
ひゃ,hya
ひゅ,hya
ひょ,hyu
びゃ,bya
びゅ,byu
びょ,byo
ぴゃ,pya
ぴゅ,pyu
ぴょ,pyo
みゃ,mya
みゅ,myu
みょ,myo
りゃ,rya
りゅ,ryu
りょ,ryo
キャ,KYA
キュ,KYU
キョ,KYO
ギャ,GYA
ギュ,GYU
ギョ,GYO
シャ,SHA
シュ,SHU
ショ,SHO
ジャ,JA
ジュ,JU
ジョ,JO
チャ,CHA
チュ,CHU
チョ,CHO
ヂャ,DYA
ヂュ,DYU
ヂョ,DYO
ニャ,NYA
ニュ,NYU
ニョ,NYO
ヒャ,HYA
ヒュ,HYU
ヒョ,HYO
ビャ,BYA
ビュ,BYU
ビョ,BYO
ピャ,PYA
ピュ,PYU
ピョ,PYO
ミャ,MYA
ミュ,MYU
ミョ,MYO
リャ,RYA
リュ,RYU
リョ,RYO
っ,(sokuon)
ッ,(SOKUON)
